condition,iteration,macro_f1_mean,macro_f1_sd,acc_mean,acc_sd,n_seeds
naive,0,0.36507936507936506,0.17819537122220344,0.4666666666666667,0.11547005383792512,3
few_shot,0,0.36507936507936506,0.17819537122220344,0.4666666666666667,0.11547005383792512,3
self_critique,0,0.36507936507936506,0.17819537122220344,0.4666666666666667,0.11547005383792512,3
self_critique,1,0.28624338624338624,0.08679990533387462,0.3666666666666667,0.057735026918962595,3
self_critique,2,0.5866666666666667,0.17776388834631177,0.6333333333333333,0.1527525231651947,3
realism_only,0,0.36507936507936506,0.17819537122220344,0.4666666666666667,0.11547005383792512,3
realism_only,1,0.32296296296296295,0.13913903399798705,0.4,0.1,3
realism_only,2,0.5866666666666667,0.17776388834631177,0.6333333333333333,0.1527525231651947,3
diversity_only,0,0.36507936507936506,0.17819537122220344,0.4666666666666667,0.11547005383792512,3
diversity_only,1,0.32296296296296295,0.13913903399798705,0.4,0.1,3
diversity_only,2,0.5866666666666667,0.17776388834631177,0.6333333333333333,0.1527525231651947,3
full_classic,0,0.36507936507936506,0.17819537122220344,0.4666666666666667,0.11547005383792512,3
full_classic,1,0.32296296296296295,0.13913903399798705,0.4,0.1,3
full_classic,2,0.5866666666666667,0.17776388834631177,0.6333333333333333,0.1527525231651947,3
full_attrforge,0,0.36507936507936506,0.17819537122220344,0.4666666666666667,0.11547005383792512,3
full_attrforge,1,0.32296296296296295,0.13913903399798705,0.4,0.1,3
full_attrforge,2,0.5555555555555555,0.12584529008682457,0.6,0.09999999999999998,3
